Film;U.S. release date;Box office gross Domestic (U.S. and Canada );Box office gross Other territories;Box office gross Worldwide;Budget;MCU;Distributor;Minutes;Franchise;Character Family;Rotten Tomatoes Critic Score;Male/Female-led;Year;Inflation Adjusted Worldwide Gross;Inflation Adjusted Budget;Break Even
Black Widow;09/07/2021;183651655;196100000;379751655;247500000;VRAI;Walt Disney Studios Motion Pictures;134;Marvel;Black Widow;79;Female;2021;379751655;247500000;Flop
The Suicide Squad;06/08/2021;55817425;112900000;168717425;185000000;FAUX;Warner Bros.;132;DC;Suicide Squad;90;Male;2021;189720141;208029645;Flop
Shang-Chi and the Legend of the Ten Rings;03/09/2021;224543292;207700000;432243292;200000000;VRAI;Walt Disney Studios Motion Pictures;132;Marvel;Shang-Chi;92;Male;2021;432243292;200000000;Flop
Venom: Let There Be Carnage;01/10/2021;213550366;293313226;506863592;110000000;FAUX;Sony Pictures Entertainment ;97;Marvel;Spider-Man Allies and Villains;57;Male;2021;506863592;110000000;Success
Eternals;05/11/2021;164870234;237194665;402064899;236200000;VRAI;Walt Disney Studios Motion Pictures;156;Marvel;Eternals;47;Female;2021;402064899;236200000;Flop
Spider-Man: No Way Home;17/12/2021;814115070;1107732041;1921847111;200000000;VRAI;Sony Pictures Entertainment ;148;Marvel;Spider-Man;93;Male;2021;1921847111;200000000;Success
The Batman;04/03/2022;369345583;402900000;772245583;200000000;FAUX;Warner Bros.;176;DC;Batman;85;Male;2022;804033595;208232617;Success
Morbius;01/04/2022;73865530;93595431;167460961;75000000;FAUX;Columbia Pictures;104;Marvel;Spider-Man Allies and Villains;15;Male;2022;167460961;75000000;Flop
Doctor Strange in the Multiverse of Madness;06/05/2022;411331607;544444197;955775804;294500000;VRAI;Walt Disney Studios Motion Pictures;126;Marvel;Doctor Strange;73;Male;2022;955775804;294500000;Success
Thor: Love and Thunder;08/07/2022;343256830;417671251;760928081;250000000;VRAI;Walt Disney Studios Motion Pictures;118;Marvel;Thor;63;Male;2022;760928081;250000000;Success
DC League of Super-Pets;29/07/2022;93657117;113900000;207557117;90000000;FAUX;Warner Bros.;106;DC;Justice League;72;Male;2022;216100809;93704678;Flop
Black Adam;21/10/2022;168152111;225100000;393252111;200000000;FAUX;Warner Bros.;125;DC;Shazam;38;Male;2022;409439582;208232617;Flop
